field_ID,bee_species,sex,park,transect_ID,method,date,type,taxonomy_notes
ANTI 1,Halictus,f,ANTI,T43,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T43,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T43,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T43,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T42,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T43,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T41,pan trap,8/3/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,T41,pan trap,8/3/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 1,Halictus,f,ANTI,net,hand net,8/4/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,net,hand net,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T29,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,net,hand net,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,6/21/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,6/21/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,6/21/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T29,pan trap,6/21/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 10,Halictus,f,ANTI,T30,pan trap,6/21/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,f,ANTI,T21,pan trap,7/7/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,m,ANTI,T21,pan trap,7/7/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,f,ANTI,T22,pan trap,5/26/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,f,ANTI,T22,pan trap,5/26/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,f,ANTI,T21,pan trap,5/26/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 11,Halictus,m,ANTI,net,hand net,7/15/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 12,Halictus,f,ANTI,net,hand net,7/7/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 12,Halictus,f,ANTI,T62,pan trap,7/7/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 12,Halictus,f,ANTI,T62,pan trap,7/7/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 12,Halictus,f,ANTI,T64,pan trap,7/27/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,T27,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,net,hand net,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,net,hand net,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,T27,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,m,ANTI,T27,pan trap,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,net,hand net,7/20/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 17,Halictus,f,ANTI,net,hand net,9/15/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 21,Halictus,f,ANTI,T166,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 21,Halictus,f,ANTI,T166,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 21,Halictus,f,ANTI,T167,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 21,Halictus,f,ANTI,T167,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 21,Halictus,f,ANTI,T167,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T33,pan trap,6/8/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T34,pan trap,6/8/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T35,pan trap,8/2/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T34,pan trap,8/2/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T35,pan trap,8/2/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T35,pan trap,8/2/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 3,Halictus,f,ANTI,T35,pan trap,8/2/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T10,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,m,ANTI,T16,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T16,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,m,ANTI,T16,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T16,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T17,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T13,pan trap,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,T12,pan trap,6/8/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,7/27/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 32,Halictus,f,ANTI,net,hand net,7/27/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,m,ANTI,T19,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,f,ANTI,T20,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,m,ANTI,T20,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,f,ANTI,T20,pan trap,6/23/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,f,ANTI,net,hand net,8/11/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,f,ANTI,net,hand net,7/27/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 33,Halictus,f,ANTI,T19,pan trap,7/27/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,m,ANTI,T7,pan trap,6/8/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,net,hand net,6/9/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,8/2/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,m,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T8,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,net,hand net,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 36,Halictus,f,ANTI,T7,pan trap,7/14/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T4,pan trap,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T4,pan trap,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,m,ANTI,net,hand net,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T5,pan trap,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,net,hand net,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T5,pan trap,6/29/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,net,hand net,8/24/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,m,ANTI,net,hand net,8/24/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T5,pan trap,8/10/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 37,Halictus,f,ANTI,T5,pan trap,8/10/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,net,hand net,7/20/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,7/20/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,7/20/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,m,ANTI,T2,pan trap,9/14/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,m,ANTI,T1,pan trap,9/14/2021,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T1,pan trap,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,net,hand net,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,net,hand net,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,net,hand net,6/29/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 38,Halictus,f,ANTI,T2,pan trap,8/10/2022,warm season-multi,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T178,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T178,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T178,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,m,ANTI,T178,pan trap,9/7/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,net,hand net,6/28/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,net,hand net,6/28/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,net,hand net,6/28/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T175,pan trap,6/29/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T175,pan trap,6/29/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 4,Halictus,f,ANTI,T175,pan trap,6/29/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T172,pan trap,6/8/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,m,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,m,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,m,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,m,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/28/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T170,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,8/2/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T171,pan trap,7/13/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,T169,pan trap,8/23/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,m,ANTI,net,hand net,8/24/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 5,Halictus,f,ANTI,net,hand net,8/24/2022,cool season-hay,Halictus sp. (ligatus/poeyi)
ANTI 7,Halictus,f,ANTI,T51,pan trap,6/21/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 7,Halictus,m,ANTI,net,hand net,8/4/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 7,Halictus,f,ANTI,net,hand net,8/4/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 7,Halictus,f,ANTI,net,hand net,8/4/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,T45,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,T44,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,m,ANTI,T45,pan trap,7/13/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,m,ANTI,net,hand net,9/7/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,m,ANTI,net,hand net,9/7/2021,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,T44,pan trap,5/26/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,T44,pan trap,7/14/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,net,hand net,7/14/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
ANTI 8,Halictus,f,ANTI,net,hand net,7/14/2022,cool season-pasture,Halictus sp. (ligatus/poeyi)
CHOH 0,Halictus,f,CHOH,T111,pan trap,7/13/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
CHOH 0,Halictus,f,CHOH,T110,pan trap,7/13/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
CHOH 8,Halictus,f,CHOH,T213,pan trap,8/4/2021,cool season-hay,Halictus sp. (ligatus/poeyi)
